company_number,name,incorporation_date,status,sic_codes,age_years,num_accounts_last_10y,num_late_accounts,last_accounts_date,overdue_accounts_flag,num_charges_total,num_charges_outstanding,num_charges_satisfied,has_floating_charge_flag,last_charge_date,signal_potential_distress,signal_boring_profitable_like,distress_score_v1,boring_profitable_score_v1
SC629666,ARCRYSS CONSULTING LIMITED,2019-05-07,active,70229;74990,6.56,2,0,2022-07-28,True,0,0,0,False,,True,False,1,1
12578630,QUBO CONSULTANTS LTD,2020-04-29,active,70210;70229;94120,5.58,0,0,,True,0,0,0,False,,True,False,1,1
11430485,TOWNLEY SERVICES LIMITED,2018-06-25,active,70229,7.42,2,0,2021-04-20,True,0,0,0,False,,True,False,1,1
09999784,HODGKINSON CONSULTANCY SERVICES LTD,2016-02-11,active,70221,9.79,4,0,2021-01-18,True,0,0,0,False,,True,False,1,1
10266613,MESOLEAN GROUP LTD.,2016-07-07,active,70229;78109;78300,9.39,6,0,2022-12-20,True,0,0,0,False,,True,False,1,1
07183006,NIGHTINGALE CONSULTING LIMITED,2010-03-09,active,70229;80100;80300,15.72,5,0,2019-12-19,True,0,0,0,False,,True,False,1,2
08140876,THE WE TECHNOLOGY (UK) LTD,2012-07-12,active,62012;62090;70229;74909,13.37,10,0,2025-04-09,False,0,0,0,False,,False,True,0,3
10845563,MAUDSLEY LTD,2017-06-30,active,70229,8.41,6,0,2022-11-04,True,0,0,0,False,,True,False,1,1
12423136,KPMUK LTD,2020-01-24,active,70229,5.84,3,0,2023-10-31,True,0,0,0,False,,True,False,1,1
06267967,AVSIDYA SERVICES LTD,2007-06-04,active,70229,18.48,7,0,2021-05-25,True,0,0,0,False,,True,False,1,3
10728903,T FRANCIS (UK) LTD,2017-04-19,active,70229;74909;86220,8.61,4,0,2022-03-21,True,0,0,0,False,,True,False,1,1
13995668,DMRC CONSULTANCY SERVICES LIMITED,2022-03-22,active,70229,3.68,2,0,2025-03-21,False,0,0,0,False,,False,False,0,1
09423868,FLAME UK BUSINESS SERVICES GROUP LTD,2015-02-05,active,70229,10.81,14,0,2025-06-02,False,1,0,1,False,2018-06-04,False,True,0,3
07740842,DECOUPLE LIMITED,2011-08-15,active,70229,14.28,10,0,2025-08-28,False,0,0,0,False,,False,True,0,3
04448756,DAWLISH LIMITED,2002-05-28,active,73110,23.5,0,0,,True,0,0,0,False,,True,False,1,2
02773512,RUPERT TAYLOR LIMITED,1992-12-14,active,01420;01430;70229;71129,32.95,10,0,2025-05-15,False,2,0,2,False,2013-03-27,False,True,0,3
12023080,GLOBAL PRIVATE EQUITY LIMITED,2019-05-29,active,70221,6.5,3,0,2023-02-28,True,0,0,0,False,,True,False,1,1
09220681,INNOVATION DEVELOPMENT (PROJECTS) LIMITED,2014-09-16,active,70229,11.2,10,0,2025-06-02,False,0,0,0,False,,False,True,0,3
12199092,AGENT ELITES LTD,2019-09-10,active,46370;46410;46450;70229,6.21,4,0,2025-04-10,True,0,0,0,False,,True,False,1,1
12251860,BOULEVARD MARKETING LTD,2019-10-09,active,73110,6.13,4,0,2024-07-31,True,0,0,0,False,,True,False,1,1
07707662,THE FULL HOUSE FOR FAMILIES LTD,2011-07-18,active,62090;70229;73200,14.36,10,0,2025-04-09,False,0,0,0,False,,False,True,0,3
11504523,DOCTORS IN BUSINESS LTD,2018-08-07,active,73110;86900,7.3,6,0,2025-05-19,False,0,0,0,False,,False,False,0,1
05180629,NUCLEUS COMPLETE BUSINESS ADVICE LIMITED,2004-07-15,active,70229,21.37,10,0,2025-07-31,False,0,0,0,False,,False,True,0,3
12563916,KABOKY LTD,2020-04-20,active,46140;66220;70229;79110,5.6,2,0,2023-12-18,True,0,0,0,False,,True,False,1,1
11579423,TECHLAWYER CONSULTANCY LIMITED,2018-09-20,active,70229,7.18,7,0,2024-03-26,True,0,0,0,False,,True,False,1,2
11582000,SPARKLE CONSULTANCY LTD,2018-09-21,active,70229,7.18,2,0,2021-06-30,True,0,0,0,False,,True,False,1,1
11337773,SHAPE YOUR FUTURE ONLINE LTD,2018-04-30,active,70229,7.58,6,0,2024-12-24,False,0,0,0,False,,False,False,0,1
11686882,JIMMY JAMES COMPANIES UK LTD,2018-11-20,active,73110,7.02,6,0,2025-09-01,False,0,0,0,False,,False,False,0,1
10180235,SAGACITI CONSULTING LTD,2016-05-13,active,70229,9.54,8,0,2024-11-04,False,0,0,0,False,,False,True,0,2
09750693,ULTIMATE CLIENTELE LIMITED,2015-08-26,active,70229,10.25,9,0,2025-01-13,False,0,0,0,False,,False,True,0,3
15664493,FUTURE TOOLING HOLDINGS LIMITED,2024-04-20,active,64209;70229,1.6,2,0,2025-07-29,False,0,0,0,False,,False,False,0,1
10937728,SHERINGHAM CROFT MANAGEMENT LTD,2017-08-30,active,70221,8.24,8,0,2025-09-26,False,0,0,0,False,,False,True,0,2
04425004,AZTEC CONSULTANTS (GB) LIMITED,2002-04-25,active,70229,23.59,10,0,2025-06-05,False,0,0,0,False,,False,True,0,3
09762552,SANDCREST CONSULTING LIMITED,2015-09-04,active,70229,10.23,9,0,2025-04-01,False,0,0,0,False,,False,True,0,3
06590794,ICJR CONSULTANCY LIMITED,2008-05-13,active,70229,17.54,10,0,2025-05-27,False,0,0,0,False,,False,True,0,3
08800582,RADHA KRISHNA AGS LTD,2013-12-03,active,41202;43999;69202;70229,11.98,10,0,2025-08-07,False,0,0,0,False,,False,True,0,3
14087296,NOTTINGHAM CONSULTING LIMITED,2022-05-05,active,70221,3.56,3,0,2024-12-06,False,0,0,0,False,,False,False,0,1
