company_number,name,incorporation_date,status,sic_codes,age_years,num_accounts_last_10y,num_late_accounts,last_accounts_date,overdue_accounts_flag,num_charges_total,num_charges_outstanding,num_charges_satisfied,has_floating_charge_flag,last_charge_date,signal_potential_distress,signal_boring_profitable_like,distress_score_v1,boring_profitable_score_v1
10728903,T FRANCIS (UK) LTD,2017-04-19,active,70229;74909;86220,8.61,4,0,2022-03-21,True,0,0,0,False,,True,False,1,1
10373307,JAIMAA CONSULTANT LTD,2016-09-13,active,70229,9.2,2,0,2019-06-28,True,0,0,0,False,,True,False,1,1
10266613,MESOLEAN GROUP LTD.,2016-07-07,active,70229;78109;78300,9.39,6,0,2022-12-20,True,0,0,0,False,,True,False,1,1
10207222,CALIBRE CONSULTING GROUP LIMITED,2016-05-31,active,70229,9.49,2,0,2017-12-11,True,0,0,0,False,,True,False,1,1
10080791,FP INSIEME LIMITED,2016-03-23,active,70229,9.68,7,0,2023-10-24,True,0,0,0,False,,True,False,1,2
09999784,HODGKINSON CONSULTANCY SERVICES LTD,2016-02-11,active,70221,9.79,4,0,2021-01-18,True,0,0,0,False,,True,False,1,1
09418604,LIZBAN CONSULTING LTD.,2015-02-03,active,70229,10.81,8,0,2025-06-13,True,0,0,0,False,,True,False,1,3
NI628743,CR FINANCIAL PLANNING LIMITED,2015-01-16,active,70221,10.86,3,0,2018-11-21,True,0,0,0,False,,True,False,1,2
SC413867,S BIRNIE TRAINING AND DEVELOPMENT LTD,2012-01-04,active,70229,13.89,10,0,2023-10-09,True,0,0,0,False,,True,False,1,3
07183006,NIGHTINGALE CONSULTING LIMITED,2010-03-09,active,70229;80100;80300,15.72,5,0,2019-12-19,True,0,0,0,False,,True,False,1,2
06708383,KUNDI CONSULTING LIMITED,2008-09-25,active,70229,17.17,1,0,2016-03-16,True,0,0,0,False,,True,False,1,2
06670576,FLYING-SPIRITS LTD,2008-08-12,active,70229,17.29,5,0,2021-04-23,True,0,0,0,False,,True,False,1,2
06267967,AVSIDYA SERVICES LTD,2007-06-04,active,70229,18.48,7,0,2021-05-25,True,0,0,0,False,,True,False,1,3
NI050108,MCMILLEN CONSULTANTS LIMITED,2004-03-30,active,70229,21.66,1,0,2016-02-18,True,0,0,0,False,,True,False,1,2
SC262456,CELEBRE LIMITED,2004-01-26,active,70229,21.83,8,0,2023-12-19,True,2,2,0,False,2006-10-26,True,False,1,3
04448756,DAWLISH LIMITED,2002-05-28,active,73110,23.5,0,0,,True,0,0,0,False,,True,False,1,2
SC119502,MARKET SIGNALS LIMITED,1989-08-15,active,73110,36.28,9,0,2024-03-22,True,0,0,0,False,,True,False,1,3
