company_number,name,sic_codes,registered_office_address
04425004,AZTEC CONSULTANTS (GB) LIMITED,70229,"12 High Street, Stanford-Le-Hope, SS17 0EY, England"
09762552,SANDCREST CONSULTING LIMITED,70229,"The Dairy, Manor Courtyard, Aston Sandford, Bucks, HP17 8JB, England"
06590794,ICJR CONSULTANCY LIMITED,70229,"3 Selwood Way, New Milton, Hampshire, BH25 7SY"
08800582,RADHA KRISHNA AGS LTD,41202;43999;69202;70229,"Rex House, 354 Ballards Lane, London, N12 0DD, England"
14087296,NOTTINGHAM CONSULTING LIMITED,70221,"Newstead House, Pelham Road, Nottingham, NG5 1AP, United Kingdom"
SC413867,S BIRNIE TRAINING AND DEVELOPMENT LTD,70229,"Unit 4b Gateway Business Park, Beancross Road, Grangemouth, FK3 8WX, Scotland"
09418604,LIZBAN CONSULTING LTD.,70229,"18 Wavel Place, London, SE26 6SF, England"
SC587963,ANSPRO LTD,70229,"28 Bannermill Place, Aberdeen, AB24 5EA, United Kingdom"
SC585860,SGI SOLUTIONS LIMITED,70229,"48 Hayfield Road, Kirkcaldy, KY2 5DT, Scotland"
SC262456,CELEBRE LIMITED,70229,"Abercorn School, Newton, Broxburn, West Lothian, EH52 6PZ"
13836714,HC DEBT MANAGEMENT LTD,70229,"Mark Masiak, 11 Ouse Lane, Towcester, NN12 6YJ, England"
02954712,CRYSTAL DESIGN SERVICES LIMITED,62020;63990;70229;85590,"8 Wincel Road, Winchcombe, Cheltenham, Gloucestershire, GL54 5YE"
06670576,FLYING-SPIRITS LTD,70229,"Suite 22 5 Bridge Street, Maidenhead, Berkshire, SL6 1JN, United Kingdom"
12401270,TOP KEK LTD,70229,"5 Milne Feild, Pinner, HA5 4DP, England"
NI645731,IKOLO LIMITED,73110,"2nd Floor 15 Gray's Hill, Bangor, Down, BT20 3BB, Northern Ireland"
12490286,A J DUNLOP CONSULTING LIMITED,70229,"27 Church Lane, Tydd St. Giles, Wisbech, PE13 5LX, England"
07725608,LANDWISE RURAL RESOURCE MANAGEMENT LIMITED,70229,"Suite 204 Warner House 123 Castle Street, Salisbury, Wiltshire, SP1 3TB, England"
11826595,ESSEX ADVERTISING SERVICES LTD,73110,"181-183 Station Lane, Hornchurch, RM12 6LL, United Kingdom"
14100097,SYSTEMS4FOOD LTD,70229,"24 Howe End, Kirkbymoorside, York, YO62 6BD, England"
11917623,HCI GROUP OF COMPANIES LTD,64209;70229,"20-22 Wenlock Road, London, England, N1 7GU"
11985944,MY TRAINING RESOURCES LTD,70229,"23 Saxon Close, Northfleet, Gravesend, DA11 8HA, England"
11935762,OTIS MANAGEMENT CONSULTANTS LTD,70229,"Jubilee House, Townsend Lane, London, NW9 8TZ, England"
11986098,PP MARKETING & ADVERTISING LTD,73110,"67 Fulmar Lane, Wellingborough, Northamptonshire, NN8 4AF, England"
11923073,DD IT SERVICES LTD,62020;62030;62090;70221,"Office 15 Ideal Offices, 23a London Road, Peterborough, PE2 8AN, England"
14082106,WE ARE DEFY LIMITED,70210;70221;70229;73120,"3 New Park Place, Pride Park, Derby, Derbyshire, DE24 8DZ, England"
12434325,PROGRESSIVE PURCHASING LTD,70229,"2 Lockram Cottages Wokefield, Mortimer, Reading, RG7 3AR, England"
11935773,INTEGER DATA LIMITED,62020;70229,"3 Kendal Close, Chester, CH2 2PR, United Kingdom"
11943130,TIATC LTD,70229,"20 St Catherines Court, Star Hill, Rochester, ME1 1GA, England"
11985314,CLC COMPLIANCE SERVICES LIMITED,70229,"Flat 93 Nankeville Court, Guildford Road, Woking, Surrey, GU22 7RF, England"
11324336,S.TAYLOR LOGISTICS CONSULTING LTD,70229,"5 Coxwold View, Wetherby, LS22 7PU, United Kingdom"
15054797,BAHELMI CONSULTANCY LTD,70229,"52 Russell Hill, Purley, CR8 2JA, England"
11569124,CETD CONSULTING LTD,70229,"88 Boundary Road, Hove, East Sussex, BN3 7GA, United Kingdom"
05820532,MOBIUS SERVICES LIMITED,70229,"3 Mountbatten Drive, Ringstead, Kettering, NN14 4TX, England"
12846804,AIO APP LIMITED,62090;70221,"4th Floor, 18 St. Cross Street, London, EC1N 8UN, England"
11790111,THOMAS AND THOMAS (BRISTOL) LIMITED,70229,"10 Meadow Street Avonmouth, Bristol, BS11 9AR, United Kingdom"
11681267,BFM LONDON LIMITED,70229,"135 Withy Mead, London, E4 6JW, United Kingdom"
11816651,TREX CONSULTANCY LIMITED,70229,"135 Flat 2 Braemar House, Maida Vale, London, W9 1UT, United Kingdom"
11774302,OCTOPUS BUSINESS (UK) LIMITED,62020;62090;70229;82990,"47 Marsham Street, London, SW1P 3DR, England"
13034675,WEALD RIDGE ADVISORY LIMITED,70229,"Churchdown Chambers, Bordyke, Tonbridge, TN9 1NR, England"
11621190,RMP CONSULTANTS LTD,70229,"A6 Kingfisher House, Kingsway, Team Valley Trading Estate, Gateshead, NE11 0JQ, England"
11806388,RELIANCE MEDICS LIMITED,70229,"11806388 - COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH"
09188868,SENSEI TRAINING & DEVELOPMENT LTD,70229,"14 Fernway, Morpeth, Northumberland, NE61 1XJ"
09335655,TIM PARKER LTD,70229,"135 Chapel Lane, Farnborough, Hampshire, GU14 9BH"
11787455,CSIGHT MARKETING CONSULTANCY LTD,70229,"4 Willowbourne, Fleet, GU51 5AB, England"
SC379580,121 HR SOLUTIONS LIMITED,70229,"22 Montrose Street, Glasgow, G1 1RE, Scotland"
03369943,MEARS ASH LIMITED,62012;68209;73110;74100,"28 Ashington Road, London, SW6 3QJ"
05801661,ARNOTT ASSOCIATES LIMITED,70229,"Hellscombe, Aldbourne, Marlborough, Wiltshire, SN8 2JZ"
10695731,WIRE AGENCIES UK LIMITED,70229,"Unit 3 Oxspring Wiremills Sheffield Road, Oxspring, Sheffield, S36 8YW, England"
11289110,FLONIGHTS LIMITED,70229,"6 Green Lane Business Park, 238 Green Lane, New Eltham, London, SE9 3TL, United Kingdom"
14083863,GROWTH CREDIT PARTNERS LIMITED,70221,"Meridien House, 43 Upper Berkeley Street, London, W1H 5QL, England"
